apk,color,fuel,history,make,mileage,model,owners,power,price_euro,seller,transmission,weight,year,predicted_label
,Blauw,Benzine,Ja,Toyota,54072,Aygo X,,51,12400,Autobedrijf,Automatisch,835,Jul/17,0
Nieuw,Grijs,Benzine,Ja,Toyota,54149,Yaris,,53,13950,Autobedrijf,Handgeschakeld,960,Sep/19,0
Nieuw,Zwart,Elektro/Benzine,Ja,Toyota,59960,C-HR,,72,21500,Autobedrijf,Automatisch,1395,Apr/17,0
Nieuw,Grijs,Benzine,Ja,Toyota,71800,Yaris,,82,14250,Autobedrijf,Automatisch,1040,Oct/17,1
Nieuw,Grijs,Elektro/Benzine,Ja,Toyota,70879,Corolla,3,,20950,Autobedrijf,Automatisch,1265,Sep/19,0
Sep/26,Grijs,Benzine,,Toyota,70981,Yaris,2,51,10750,Autobedrijf,Handgeschakeld,955,Sep/18,0
Nieuw,Wit,Benzine,Ja,Toyota,60236,C-HR,2,85,17900,Autobedrijf,Handgeschakeld,1295,Feb/17,5
,Grijs,Benzine,,Toyota,71817,C-HR,1,85,17950,Autobedrijf,Handgeschakeld,1350,May/17,0
,Wit,Stroom,Ja,Toyota,79818,RAV 4,,114,23495,Autobedrijf,Automatisch,,Mar/17,0
Nieuw,Rood,Stroom,,Toyota,79791,Yaris,,74,17400,Autobedrijf,Automatisch,1075,Sep/18,5
Mar/26,Rood,Elektro/Benzine,,Toyota,79194,Yaris,,55,15950,Autobedrijf,Automatisch,1050,Mar/20,3
Nieuw,Wit,Benzine,Ja,Toyota,51841,Aygo,,53,13400,Autobedrijf,Automatisch,835,Mar/19,1
Nieuw,Rood,Benzine,Ja,Toyota,50481,Yaris,1,53,16250,Autobedrijf,Handgeschakeld,960,Apr/20,5
Nieuw,Grijs,Elektro/Benzine,Ja,Toyota,50856,Corolla,,72,19450,Autobedrijf,Automatisch,1260,Jun/19,0
Sep/25,Blauw,Elektro/Benzine,,Toyota,58101,Yaris,,85,19499,Autobedrijf,Automatisch,1090,Sep/20,0
Nieuw,Zilver,Stroom,Ja,Toyota,56912,RAV 4,1,163,33995,Autobedrijf,Automatisch,1620,May/19,1
Nieuw,Grijs,Stroom,Ja,Toyota,51876,RAV 4,,,27950,Autobedrijf,Automatisch,1600,Jul/19,5
Nieuw,Grijs,Benzine,Ja,Toyota,53022,Proace City,,81,26750,Autobedrijf,Handgeschakeld,1341,Jul/20,0
Mar/26,Wit,Benzine,Ja,Toyota,55407,Aygo,1,53,10449,Autobedrijf,Handgeschakeld,815,Mar/20,3
Jan/26,Wit,Benzine,,Toyota,75100,Aygo,,53,10450,Autobedrijf,Handgeschakeld,815,Jan/20,5
Nieuw,Grijs,Elektro/Benzine,Ja,Toyota,51805,C-HR,2,90,21880,Autobedrijf,Automatisch,1395,Sep/18,5
Nieuw,Blauw,Elektro/Benzine,,Toyota,57813,Yaris,,73,18450,Autobedrijf,Automatisch,1075,Feb/19,5
Nieuw,Wit,Benzine,Ja,Toyota,67850,Aygo,,53,11449,Autobedrijf,Handgeschakeld,830,Apr/19,4
Nieuw,Wit,Benzine,,Toyota,69550,Aygo,,53,10995,Autobedrijf,Handgeschakeld,830,Mar/20,1
Aug/25,Blauw,Elektro/Benzine,,Toyota,54795,Yaris,,54,15995,Autobedrijf,Automatisch,1075,Aug/17,0
Dec/26,Wit,Stroom,,Toyota,76654,C-HR,1,135,22500,Particulier,Automatisch,1460,Dec/20,0
Nieuw,Wit,Benzine,,Toyota,63215,Aygo,,53,12450,Autobedrijf,Handgeschakeld,830,Jul/19,4
Nieuw,Rood,Elektro/Benzine,Ja,Toyota,56755,Corolla,1,135,24500,Autobedrijf,Automatisch,1315,Mar/19,5
,Grijs,Benzine,,Toyota,67668,Aygo,,53,10995,Autobedrijf,Handgeschakeld,830,Dec/19,3
Nieuw,Wit,Benzine,Ja,Toyota,59475,Aygo,1,53,13150,Autobedrijf,Automatisch,835,May/19,1
Nieuw,Grijs,Elektro/Benzine,Ja,Toyota,62472,Yaris,,85,20985,Autobedrijf,Automatisch,1065,Oct/20,5
Sep/26,Grijs,Elektro/Benzine,Ja,Toyota,62000,Corolla,,90,22950,Autobedrijf,Automatisch,1265,Sep/20,0
Nieuw,Wit,Elektro/Benzine,,Toyota,78624,C-HR,1,90,20445,Autobedrijf,Automatisch,1395,Aug/19,5
Nieuw,Grijs,Benzine,Ja,Toyota,69005,Aygo,3,54,9480,Autobedrijf,Handgeschakeld,815,Aug/19,5
Nieuw,Zwart,Stroom,Ja,Toyota,55791,Yaris,,55,14990,Autobedrijf,Automatisch,1065,Jun/17,5
Nieuw,Zwart,Elektro/Benzine,Ja,Toyota,64017,Yaris,2,73,16450,Autobedrijf,Automatisch,1065,May/18,5
Jul/25,Wit,Benzine,,Toyota,75353,Aygo,,51,9900,Autobedrijf,Handgeschakeld,830,Jul/17,5
Nieuw,Wit,Benzine,Ja,Toyota,56202,Aygo,5,51,9499,Autobedrijf,Handgeschakeld,815,Feb/18,0
Nieuw,Wit,Elektro/Benzine,Ja,Toyota,62223,C-HR,2,,22950,Autobedrijf,Automatisch,1395,Nov/20,5
Nieuw,Blauw,Benzine,,Toyota,75367,Aygo,2,51,12500,Autobedrijf,Automatisch,835,Oct/17,5
Nieuw,Grijs,Diesel,Ja,Toyota,71699,Proace,1,71,15895,Autobedrijf,Handgeschakeld,1485,Apr/19,5
Nieuw,Zwart,Elektro/Benzine,Ja,Toyota,74271,Yaris,,73,17950,Autobedrijf,Automatisch,1050,Sep/19,5
,Blauw,Stroom,,Toyota,57000,Yaris,,74,24450,Autobedrijf,Automatisch,,Dec/20,0
Jul/25,Zwart,Elektro/Benzine,Ja,Toyota,56000,RAV 4,1,,31950,Autobedrijf,Automatisch,1565,Feb/20,5
Apr/26,Wit,Diesel,Ja,Toyota,65869,Proace City,3,57,16800,Autobedrijf,Handgeschakeld,1295,Dec/20,0
Nieuw,Grijs,Elektro/Benzine,Ja,Toyota,67495,Yaris,,85,19750,Autobedrijf,Automatisch,1060,Dec/20,5
Nieuw,Grijs,Stroom,Ja,Toyota,67887,RAV 4,1,145,27500,Autobedrijf,Automatisch,1600,Jan/19,1
Mar/27,Blauw,Benzine,Ja,Toyota,78019,Aygo,,53,11900,Autobedrijf,Handgeschakeld,830,Mar/19,5
Nieuw,Grijs,Stroom,Ja,Toyota,71655,RAV 4,,163,33900,Autobedrijf,Automatisch,1610,Dec/19,1
Nieuw,Grijs,Elektro/Benzine,Ja,Toyota,50298,C-HR,2,90,23445,Autobedrijf,Automatisch,1395,Dec/19,5
Nieuw,Grijs,Elektro/Benzine,,Toyota,69241,C-HR,1,90,23950,Autobedrijf,Automatisch,1395,Mar/19,5
Nieuw,Zwart,Elektro/Benzine,Ja,Toyota,79194,RAV 4,,160,36950,Autobedrijf,Automatisch,1620,Nov/20,5
Jan/26,Wit,Benzine,,Toyota,73981,Aygo,,53,10400,Autobedrijf,Handgeschakeld,815,Jan/20,5
Nieuw,Grijs,Elektro/Benzine,Ja,Toyota,74998,RAV 4,,160,33795,Autobedrijf,Automatisch,1620,Apr/19,5
Oct/26,Grijs,Elektro/Benzine,Ja,Toyota,53925,Yaris,,85,19940,Autobedrijf,Automatisch,1060,Dec/20,1
Mar/26,Rood,Elektro/Benzine,Ja,Toyota,74385,C-HR,,112,23945,Autobedrijf,Automatisch,1460,Mar/20,1
Jul/25,Wit,Diesel,,Toyota,65563,Proace,,88,10900,Autobedrijf,Handgeschakeld,1688,Jul/17,1
Nieuw,Grijs,Elektro/Benzine,Ja,Toyota,63519,Yaris,,73,18245,Autobedrijf,Automatisch,1075,Feb/18,5
Nieuw,Wit,Elektro/Benzine,Ja,Toyota,64681,RAV 4,1,160,33950,Autobedrijf,Automatisch,1565,Mar/20,5
Nieuw,Groen,Elektro/Benzine,,Toyota,63200,Corolla,,135,24950,Autobedrijf,Automatisch,1315,Dec/20,3
Nieuw,Grijs,Benzine,Ja,Toyota,70002,Yaris,1,51,13200,Autobedrijf,Handgeschakeld,955,Apr/18,5
Nieuw,Grijs,Elektro/Benzine,Ja,Toyota,70921,Corolla,3,90,20980,Autobedrijf,Automatisch,1285,Nov/20,5
Feb/26,Wit,Benzine,Ja,Toyota,89971,Yaris,,51,9950,Autobedrijf,Handgeschakeld,955,Feb/18,0
Jul/25,Wit,Elektro/Benzine,,Toyota,80304,Corolla,,72,18750,Autobedrijf,Automatisch,1260,Jul/19,0
Mar/26,Wit,Elektro/Benzine,Ja,Toyota,88988,Yaris,3,,13900,Autobedrijf,Automatisch,1070,Mar/17,0
Apr/25,Bruin,Stroom,,Toyota,92590,C-HR,2,90,18500,Particulier,Automatisch,,Jun/19,0
Mar/27,Wit,Benzine,Ja,Toyota,93119,Aygo,,53,9245,Autobedrijf,Handgeschakeld,830,Nov/19,0
Nieuw,Wit,Benzine,,Toyota,84830,Aygo,,51,6995,Autobedrijf,Handgeschakeld,815,Feb/16,1
Nieuw,Grijs,Benzine,Ja,Toyota,95155,Aygo,1,51,8445,Autobedrijf,Handgeschakeld,830,Jan/17,5
Nieuw,Grijs,Elektro/Benzine,Ja,Toyota,72905,C-HR,,,22500,Autobedrijf,Automatisch,1395,Mar/20,5
Nieuw,Wit,Elektro/Benzine,,Toyota,73640,Yaris,2,,11850,Autobedrijf,Automatisch,1060,Sep/12,0
Nieuw,Grijs,Benzine,,Toyota,64216,Aygo,3,50,5945,Autobedrijf,Handgeschakeld,805,Jun/11,0
Jul/25,Rood,Stroom,,Toyota,57644,Yaris,2,55,12749,Autobedrijf,Automatisch,1235,May/14,5
,Wit,Elektro/Benzine,Ja,Toyota,79025,Yaris,,73,11450,Autobedrijf,Automatisch,1060,May/13,5
Dec/25,Bruin,Stroom,,Toyota,58284,Auris,,100,14945,Autobedrijf,Automatisch,1285,Dec/14,1
Nieuw,Blauw,Hydrogenium,,Toyota,167937,Mirai,,55,25950,Autobedrijf,Automatisch,1825,Jan/17,0
,Blauw,Benzine,Ja,Toyota,197000,Starlet,,55,800,Particulier,Handgeschakeld,905,May/96,0
Nieuw,Grijs,Benzine,,Toyota,179295,Aygo,2,50,3950,Autobedrijf,Handgeschakeld,780,Mar/10,5
Feb/26,Blauw,Benzine,,Toyota,193310,Starlet,,55,1950,Autobedrijf,Automatisch,835,Aug/96,0
Dec/25,Grijs,Benzine,Ja,Toyota,195137,Yaris,,64,4550,Autobedrijf,Automatisch,1000,Jan/07,0
Nieuw,Zwart,Benzine,Ja,Toyota,177829,Yaris,3,74,5250,Autobedrijf,Handgeschakeld,1025,Jan/10,5
Feb/26,Blauw,Benzine,Ja,Toyota,192479,Verso,,97,6900,Autobedrijf,Handgeschakeld,1395,Aug/09,0
Feb/25,Zwart,Benzine,,Toyota,195500,Auris,,73,9500,Particulier,,1285,Mar/13,0
Aug/25,Blauw,Benzine,,Toyota,164013,Yaris,,51,4495,Autobedrijf,Handgeschakeld,960,Aug/10,0
Apr/26,Zwart,Benzine,,Toyota,163350,Aygo,,50,3999,Autobedrijf,Handgeschakeld,805,Mar/11,0
Jan/26,Blauw,Stroom,Ja,Toyota,165526,Auris,,100,10900,Autobedrijf,Automatisch,1380,Jan/13,5
,Rood,Benzine,,Volkswagen,168000,Golf,,63,2600,Particulier,,1090,Mar/97,5
,Blauw,Benzine,,Toyota,157000,Yaris,,73,7250,Particulier,Handgeschakeld,990,Nov/12,0
Nov/21,Zwart,Diesel,,Volkswagen,852080,Bora,3,85,2675,Particulier,Handgeschakeld,1325,Aug/00,0
Dec/23,Zwart,Benzine,Ja,Volkswagen,207000,Golf,,110,2000,Particulier,Handgeschakeld,1204,Feb/99,0
Sep/25,Blauw,Benzine,,Volkswagen,228172,Golf Cabriolet,,85,2495,Autobedrijf,Handgeschakeld,1143,Jan/96,0
Jan/26,Grijs,Benzine,Ja,Toyota,82973,iQ,,50,7950,Autobedrijf,Automatisch,835,Jun/09,0
,Blauw,Benzine,,Volkswagen,246500,Golf Cabriolet,,55,2995,Particulier,Handgeschakeld,1130,May/99,0
,Blauw,Benzine,,Volkswagen,146757,Polo,,44,600,Particulier,Handgeschakeld,896,Feb/00,0
Nieuw,Wit,Benzine,Ja,Toyota,175407,Aygo,5,50,2950,Autobedrijf,Handgeschakeld,775,Nov/10,5
Oct/25,Zwart,Elektro/Benzine,Ja,Toyota,68065,Auris,4,,10990,Autobedrijf,Automatisch,1355,Oct/10,0
,Rood,Benzine,,Toyota,169000,Celica,3,105,9999,Autobedrijf,Handgeschakeld,1075,Apr/00,0
Nieuw,Grijs,Benzine,,Toyota,228868,Verso,1,81,3750,Autobedrijf,Handgeschakeld,1320,Sep/07,0
Nieuw,Grijs,Benzine,Ja,Toyota,214575,RAV 4,,112,9495,Autobedrijf,Automatisch,1480,Jan/07,0
Dec/25,Grijs,Benzine,,Toyota,112490,Aygo,,50,3499,Autobedrijf,Handgeschakeld,825,Sep/10,0
Jun/24,Rood,Benzine,,Toyota,166630,Aygo,,50,1000,Particulier,Handgeschakeld,775,Jun/08,0
Jul/25,Blauw,Benzine,,Volkswagen,251140,Golf,,85,1999,Autobedrijf,Handgeschakeld,1195,Nov/03,0
Nov/25,Grijs,Benzine,Ja,Volkswagen,231721,Passat,,110,3895,Autobedrijf,Automatisch,1393,Oct/05,0
Feb/26,Paars,Benzine,,Volkswagen,177136,Golf,,125,5999,Autobedrijf,Handgeschakeld,1252,Mar/02,0
Nieuw,Zwart,Benzine,Ja,Volkswagen,258340,Golf,,125,2950,Autobedrijf,Handgeschakeld,1252,Nov/02,0
Apr/26,Groen,Benzine,,Volkswagen,212115,Golf,,85,2649,Autobedrijf,Handgeschakeld,1195,Apr/04,0
Mar/26,Blauw,Diesel,,Volkswagen,246511,Transporter,,96,4450,Autobedrijf,Handgeschakeld,1980,May/05,0
Nieuw,Grijs,Benzine,,Volkswagen,127949,New Beetle,,85,4950,Autobedrijf,Handgeschakeld,1299,Mar/04,5
,Grijs,Diesel,,Volkswagen,326505,Caddy,5,51,4949,Autobedrijf,Handgeschakeld,1373,Apr/05,0
Aug/25,Grijs,Benzine,,Volkswagen,167006,Fox,,55,1390,Autobedrijf,Handgeschakeld,987,Dec/05,0
,Blauw,Benzine,Ja,Volkswagen,370,Polo,3,55,17965,Autobedrijf,Automatisch,1028,Oct/03,0
Sep/25,Blauw,Benzine,,Volkswagen,279157,Golf,,55,1950,Autobedrijf,Handgeschakeld,1164,Feb/04,0
Jul/25,Zwart,Benzine,,Volkswagen,196624,Golf GTI,,147,6340,Autobedrijf,Handgeschakeld,1303,Jun/05,0
,,Benzine,,Volkswagen,19999,Polo,,44,1400,Particulier,Handgeschakeld,1021,Apr/02,0
May/26,Grijs,Benzine,,Volkswagen,203180,Golf,,81,2750,Autobedrijf,Handgeschakeld,1092,Jul/02,0
May/25,Zilver,Benzine,Ja,Volkswagen,252445,Golf,1,74,750,Particulier,Handgeschakeld,,Mar/99,0
Nieuw,Zwart,Benzine,Ja,Volkswagen,143742,Golf,,55,1750,Autobedrijf,Handgeschakeld,1037,Jan/99,0
,,Benzine,,Volkswagen,206200,Golf,,74,1600,Particulier,Handgeschakeld,1096,Mar/98,5
Jun/25,Zwart,Benzine,Ja,Volkswagen,190830,Phaeton,,177,8400,Autobedrijf,Automatisch,2084,Aug/02,0
,Blauw,Benzine,,Volkswagen,141032,Golf Cabriolet,,85,2200,Particulier,Handgeschakeld,1132,Oct/99,0
Jun/25,Blauw,Benzine,Ja,Volkswagen,262320,Golf,,74,599,Autobedrijf,Handgeschakeld,1049,Jan/00,3
,Zwart,Benzine,,Volkswagen,283000,Golf,,55,1000,Particulier,Handgeschakeld,1037,Jul/00,0
Nov/25,Blauw,Benzine,,Volkswagen,118484,Polo,,33,690,Autobedrijf,Handgeschakeld,850,Jan/95,0
Aug/25,Zwart,Benzine,,Volkswagen,227694,Lupo,,44,999,Autobedrijf,Handgeschakeld,890,Sep/00,0
Dec/25,Grijs,Benzine,Ja,Volkswagen,124831,Golf,,92,3990,Autobedrijf,Automatisch,1147,Dec/00,0
Sep/25,,,,Volkswagen,175128,Golf,,85,2399,Autobedrijf,,1172,Jun/00,0
Mar/26,Grijs,Benzine,Ja,Toyota,162334,Aygo,,50,3745,Autobedrijf,Handgeschakeld,805,Apr/12,0
Mar/26,Bruin,Benzine,Ja,Toyota,158959,Aygo,2,50,3999,Autobedrijf,Handgeschakeld,780,Sep/12,0
Nieuw,Grijs,Benzine,,Volkswagen,245790,Polo,,44,1195,Autobedrijf,Handgeschakeld,872,Jan/00,0
,Blauw,Benzine,,Volkswagen,262741,Golf Cabriolet,,55,1745,Autobedrijf,Handgeschakeld,1160,Dec/98,0
May/25,Grijs,Diesel,,Volkswagen,310000,LT,2,75,11995,Particulier,Handgeschakeld,2340,Apr/99,5
Jul/25,Grijs,Lpg,Ja,Toyota,160000,Tundra,,284,24500,Particulier,Automatisch,,Jan/11,0
Oct/25,Wit,Benzine,Ja,Toyota,151062,Aygo,,50,2900,Autobedrijf,Handgeschakeld,775,Jan/10,5
Feb/26,Wit,Benzine,,Toyota,168312,Aygo,,50,2799,Autobedrijf,Handgeschakeld,780,Oct/11,3
Aug/25,Wit,Benzine,Ja,Toyota,152852,Aygo,,50,3945,Autobedrijf,Handgeschakeld,780,Aug/12,0
Mar/26,Blauw,Benzine,,Toyota,168014,Aygo,,50,3850,Autobedrijf,Handgeschakeld,805,Feb/10,0
May/25,Grijs,Benzine,Ja,Toyota,171167,Verso,,97,4985,Autobedrijf,Handgeschakeld,1395,May/11,0
Sep/25,Grijs,Benzine,Ja,Toyota,155429,Corolla,,91,5950,Autobedrijf,Handgeschakeld,1215,Jan/10,0
Apr/26,Grijs,Benzine,Ja,Toyota,155567,Aygo,,50,3445,Autobedrijf,Handgeschakeld,805,Jul/10,0
,Grijs,Elektro/Benzine,,Toyota,178199,Highlander,,140,44999,Autobedrijf,Automatisch,2025,May/21,0
Jan/27,Grijs,Elektro/Benzine,Ja,Toyota,193177,C-HR,,135,19900,Autobedrijf,Automatisch,1460,Jan/21,0
Oct/25,Bruin,Benzine,,Toyota,174642,Aygo,,,2795,Autobedrijf,Handgeschakeld,,Oct/12,0
Mar/25,Grijs,Benzine,Ja,Toyota,166559,Aygo,,50,3750,Particulier,Handgeschakeld,805,Mar/13,0
Oct/26,Grijs,Elektro/Benzine,Ja,Toyota,76983,Corolla,1,90,22700,Autobedrijf,Automatisch,1345,Oct/22,5
May/25,Bruin,Elektro/Benzine,Ja,Toyota,175219,Corolla,3,90,18440,Autobedrijf,Automatisch,1345,Jun/21,0
Oct/25,Grijs,Diesel,,Toyota,188461,Proace,,88,10300,Autobedrijf,Handgeschakeld,1646,Oct/19,1
Dec/25,Grijs,Benzine,,Toyota,187787,Yaris,,51,7950,Autobedrijf,Handgeschakeld,955,Sep/18,0
Mar/27,Wit,Stroom,Ja,Toyota,175545,Corolla,,90,16440,Autobedrijf,Automatisch,1275,Mar/20,5
Jan/27,Groen,Elektro/Benzine,,Toyota,192297,Corolla,,90,16400,Autobedrijf,Automatisch,1265,Jun/21,0
,Wit,Diesel,,Toyota,198125,Land Cruiser,,130,22900,Autobedrijf,Handgeschakeld,,Apr/16,1
Feb/26,Grijs,Elektro/Benzine,Ja,Toyota,181802,Yaris,,54,11950,Autobedrijf,Automatisch,1065,Feb/18,0
Feb/26,Zwart,Benzine,Ja,Toyota,185627,Verso,,95,4950,Autobedrijf,Handgeschakeld,1335,Apr/08,0
Nieuw,Blauw,Benzine,Ja,Toyota,161326,Aygo,5,50,3950,Autobedrijf,Handgeschakeld,805,Oct/10,0
Nieuw,Grijs,Benzine,Ja,Toyota,163200,Aygo,,51,6995,Autobedrijf,Handgeschakeld,830,Dec/14,0
Dec/25,Wit,Benzine,Ja,Toyota,180734,Aygo,,50,2950,Autobedrijf,Handgeschakeld,805,Nov/09,0
Mar/26,Grijs,Benzine,Ja,Toyota,194862,Yaris,,51,3450,Autobedrijf,Handgeschakeld,970,Aug/06,0
Dec/25,Zwart,Benzine,,Toyota,188264,Aygo,2,50,2199,Autobedrijf,Handgeschakeld,795,Dec/06,0
May/25,Grijs,Benzine,Ja,Toyota,161029,Yaris,2,51,5745,Autobedrijf,Handgeschakeld,945,May/13,0
,Wit,Diesel,,Toyota,178300,Hilux,,75,12750,Autobedrijf,Handgeschakeld,1700,Jan/04,0
,Groen,Benzine,,Toyota,193325,Yaris,3,63,9999999,Particulier,Automatisch,890,Jan/02,0
Apr/26,Blauw,Benzine,,Toyota,178895,Yaris,,48,2450,Autobedrijf,Automatisch,860,Oct/03,0
,Blauw,Benzine,,Toyota,187398,Verso,,95,3999,Autobedrijf,Handgeschakeld,1330,Jan/06,0
Nieuw,Zwart,Benzine,,Toyota,191730,Corolla Verso,,81,2750,Autobedrijf,Handgeschakeld,1170,Apr/04,0
Apr/26,Zilver,Benzine,,Toyota,180309,Corolla,,81,3900,Autobedrijf,Automatisch,1155,Feb/04,0
Apr/26,Geel,Benzine,Ja,Toyota,195345,Yaris,,50,1499,Autobedrijf,Handgeschakeld,815,Dec/01,0
Nieuw,Grijs,Elektro/Benzine,Ja,Toyota,192876,Yaris,,54,10500,Autobedrijf,Automatisch,1050,Oct/18,0
,,Benzine,,Toyota,188533,Avensis,,108,4200,Particulier,Automatisch,1435,Jul/03,0
,Grijs,Benzine,,Toyota,178310,Corolla,,81,3749,Particulier,Handgeschakeld,1135,Nov/04,0
,Grijs,Diesel,Ja,Toyota,176500,Hilux,2,106,15400,Particulier,Handgeschakeld,,Jul/10,0
Nieuw,Grijs,Stroom,,Toyota,197491,Auris,,100,12745,Autobedrijf,Automatisch,1320,Nov/14,1
Dec/25,Blauw,Stroom,,Toyota,177568,Auris,,100,12400,Autobedrijf,Automatisch,1310,Dec/15,0
,Zwart,Benzine,Ja,Toyota,177809,Yaris,,73,7495,Autobedrijf,Handgeschakeld,1025,Apr/11,5
Sep/25,Zwart,Benzine,Ja,Toyota,196630,RAV 4,,112,15900,Autobedrijf,Automatisch,1495,Jul/14,0
Nieuw,Grijs,Elektro/Benzine,Ja,Toyota,175515,Auris,,73,9950,Autobedrijf,Automatisch,1355,Jul/12,0
Apr/26,Zwart,Benzine,Ja,Toyota,183789,Aygo,,50,3450,Autobedrijf,Handgeschakeld,780,Apr/10,0
Nieuw,Grijs,Benzine,Ja,Toyota,182671,Verso,,108,10950,Autobedrijf,Automatisch,1420,Nov/11,0
Nieuw,Grijs,Elektro/Benzine,Ja,Toyota,176141,Auris,,73,9450,Autobedrijf,Automatisch,1285,Dec/13,0
Mar/26,Grijs,Benzine,Ja,Toyota,186048,Yaris,,51,5750,Autobedrijf,Handgeschakeld,945,May/13,0
,Grijs,Elektro/Benzine,,Toyota,190092,Prius,,73,9800,Autobedrijf,Automatisch,1435,Feb/12,0
Jun/25,Bruin,Benzine,Ja,Toyota,199079,Verso,,97,9750,Autobedrijf,Handgeschakeld,1405,Jun/15,0
Sep/25,Wit,Elektro/Benzine,Ja,Toyota,182545,Prius,,73,11499,Autobedrijf,Automatisch,1400,Sep/12,5
,,Stroom,,Toyota,185229,Yaris,,55,8500,Particulier,Automatisch,1085,Jan/14,0
May/26,Grijs,Benzine,,Toyota,196921,Aygo,,50,4950,Autobedrijf,Automatisch,815,Mar/13,0
Jun/25,Zwart,Elektro/Benzine,Ja,Toyota,199783,Auris,5,,6950,Autobedrijf,Automatisch,1355,Jan/11,0
Jul/25,Zwart,Elektro/Benzine,,Toyota,199069,Auris,,73,6750,Autobedrijf,Automatisch,1355,Jan/11,0
Apr/25,Wit,Benzine,Ja,Toyota,190000,Aygo,,50,3400,Particulier,Handgeschakeld,780,Jan/12,0
Jun/25,Rood,Benzine,Ja,Toyota,191911,Aygo,1,50,2750,Particulier,Handgeschakeld,,Jun/13,0
Nov/25,Groen,Benzine,Ja,Toyota,181633,RAV 4,,116,14450,Autobedrijf,Automatisch,1480,Mar/12,0
Nieuw,Rood,Elektro/Benzine,Ja,Toyota,175116,Yaris,,55,9950,Autobedrijf,Automatisch,1060,Nov/14,0
Dec/25,Rood,LPG,,Toyota,179000,RAV 4,,131,10500,Particulier,Automatisch,2055,Feb/12,0
May/26,Grijs,Benzine,,Toyota,183374,Auris,,91,4450,Autobedrijf,Handgeschakeld,1235,Jul/07,0
,Wit,Benzine,Ja,Toyota,194165,Aygo,3,50,4250,Autobedrijf,Automatisch,815,Aug/10,0
Feb/26,Rood,Benzine,Ja,Toyota,185482,Yaris,,51,2950,Autobedrijf,Handgeschakeld,960,Jun/09,0
Feb/26,Grijs,Elektro/Benzine,Ja,Toyota,195732,Prius,2,73,7950,Autobedrijf,Automatisch,1345,Aug/09,0
Jan/26,Grijs,Benzine,Ja,Toyota,183000,Corolla Verso,1,81,4750,Particulier,Handgeschakeld,1320,Jan/07,0
Aug/25,Zwart,Benzine,,Toyota,184906,Aygo,,50,2950,Particulier,Handgeschakeld,805,Aug/08,0
Aug/25,Rood,Benzine,Ja,Toyota,194000,Aygo,,50,1750,Particulier,Handgeschakeld,,May/08,0
Oct/24,Grijs,Diesel,,Toyota,181973,Corolla,,66,4500,Particulier,Handgeschakeld,1180,Jan/07,0
Dec/25,Grijs,Benzine,Ja,Toyota,194418,Auris,7,71,2899,Autobedrijf,Handgeschakeld,1195,Apr/07,0
Oct/25,Grijs,Benzine,,Toyota,188104,Aygo,,50,1999,Autobedrijf,Handgeschakeld,775,Feb/07,0
Apr/26,Zwart,Benzine,Ja,Toyota,193375,Aygo,1,50,1950,Autobedrijf,Handgeschakeld,780,Apr/08,0
,Grijs,Benzine,,Toyota,179158,Corolla,,81,3450,Particulier,Handgeschakeld,1125,Dec/05,0
Dec/25,Blauw,Benzine,,Toyota,184595,Aygo,1,50,1500,Particulier,Handgeschakeld,795,Mar/08,0
Apr/26,Grijs,Benzine,Ja,Toyota,185688,Aygo,,50,2300,Particulier,Handgeschakeld,805,Mar/06,0
,Blauw,Benzine,Ja,Toyota,184668,Aygo,2,50,3900,Particulier,Handgeschakeld,805,Jul/09,0
,Rood,Benzine,,Toyota,190940,Starlet,,55,1200,Particulier,Handgeschakeld,805,Dec/97,0
Mar/26,Blauw,Benzine,,Toyota,190514,Aygo,7,50,2200,Particulier,Handgeschakeld,795,Aug/08,0
Jul/25,Wit,Elektro/Benzine,Ja,Toyota,103489,C-HR,,72,19445,Autobedrijf,Automatisch,1395,Jul/19,0
Nieuw,Grijs,Elektro/Benzine,,Toyota,123283,Auris,,100,15450,Autobedrijf,Automatisch,1310,Oct/15,0
Sep/25,Zwart,Benzine,,Toyota,193376,Aygo,,50,1450,Particulier,Handgeschakeld,805,Mar/08,0
Sep/25,Zilver,Benzine,,Toyota,180026,Yaris,2,64,3690,Particulier,Handgeschakeld,995,Jan/07,0
Nov/25,Wit,Elektro/Benzine,Ja,Toyota,85085,RAV 4,1,,27450,Autobedrijf,Automatisch,1565,Nov/19,5
Feb/26,Grijs,Benzine,Ja,Toyota,172837,Verso,1,108,12950,Autobedrijf,Handgeschakeld,1405,Sep/16,0
Nieuw,Rood,Elektro/Benzine,Ja,Toyota,52556,Auris,,73,17995,Autobedrijf,Automatisch,1285,Apr/18,0
Apr/26,Grijs,Benzine,Ja,Toyota,76649,Aygo,,53,9450,Autobedrijf,Handgeschakeld,830,Apr/19,0
Nieuw,Zwart,Benzine,Ja,Toyota,134105,C-HR,,85,16950,Autobedrijf,Automatisch,1435,Jan/18,0
Oct/25,Rood,Elektro/Benzine,Ja,Toyota,42885,Corolla,1,135,23950,Autobedrijf,Automatisch,1345,May/19,4
Sep/25,Grijs,Benzine,Ja,Toyota,29657,Yaris,2,51,10949,Autobedrijf,Handgeschakeld,955,Aug/17,0
Nov/25,Wit,Elektro/Benzine,,Toyota,134763,Auris,2,,14445,Autobedrijf,Automatisch,1310,Nov/15,0
