apk,color,fuel,history,make,mileage,model,owners,power,price_euro,seller,transmission,weight,year,predicted_label
Nieuw,Rood,Benzine,Ja,Alfa,15130,Romeo Giulia,,206,62900,Autobedrijf,Automatisch,1620,Jul/23,5
Sep/28,Blauw,Stroom,,Alfa,2364,Romeo Junior,,115,36425,Autobedrijf,Automatisch,1520,Sep/24,5
Dec/25,Wit,Benzine,Ja,Alfa,117000,Romeo MiTo,2,63,5250,Particulier,Handgeschakeld,1105,Aug/13,0
,Zwart,Elektro/Benzine,,Alfa,5,Romeo Junior,,,37945,Autobedrijf,Automatisch,1280,Jan/25,0
Feb/26,Grijs,Benzine,,Alfa,216000,Romeo MiTo,3,99,2500,Particulier,Handgeschakeld,,Jan/11,0
,Wit,Benzine,Ja,Alfa,88902,Romeo MiTo,,74,7999,Autobedrijf,Handgeschakeld,1105,Dec/14,0
Jul/25,Zwart,Diesel,Ja,Alfa,297182,Romeo Giulietta,,110,6499,Autobedrijf,Handgeschakeld,1295,Jun/15,0
Oct/25,Zwart,Benzine,,Alfa,153442,Romeo Giulietta,,173,11995,Autobedrijf,Handgeschakeld,1295,Oct/11,3
Jul/25,Grijs,Diesel,Ja,Alfa,247799,Romeo Giulietta,,125,5350,Autobedrijf,Automatisch,1310,Apr/12,0
Jan/26,Wit,Benzine,,Alfa,245477,Romeo MiTo,,99,3300,Autobedrijf,Handgeschakeld,1110,Jul/11,0
Sep/25,Zwart,Benzine,,Alfa,136293,Romeo Giulietta,,125,7999,Autobedrijf,Handgeschakeld,1265,Jun/11,0
Jan/26,Zwart,Benzine,Ja,Alfa,224877,Romeo MiTo,,58,2890,Autobedrijf,Handgeschakeld,1055,Jun/10,0
Jun/25,Zwart,Benzine,Ja,Alfa,150422,Romeo 159,2,147,8995,Autobedrijf,Handgeschakeld,1405,Apr/11,0
Nieuw,Wit,Diesel,Ja,Alfa,212845,Romeo MiTo,7,63,3445,Autobedrijf,Handgeschakeld,1125,Aug/11,0
,Zwart,Diesel,,Alfa,166487,Romeo MiTo,,62,3950,Autobedrijf,Handgeschakeld,1125,Feb/12,0
Apr/26,Rood,Benzine,Ja,Alfa,213389,Romeo MiTo,,63,4000,Autobedrijf,Handgeschakeld,1105,Oct/12,0
,Zwart,Benzine,Ja,Alfa,137627,Romeo MiTo,,74,7450,Autobedrijf,Handgeschakeld,1105,Jun/14,0
Jan/26,Wit,Benzine,Ja,Alfa,216874,Romeo Giulietta,,125,7350,Autobedrijf,Handgeschakeld,1265,Feb/13,0
Nov/25,Wit,Benzine,Ja,Alfa,209591,Romeo Giulietta,,88,6950,Autobedrijf,Handgeschakeld,1255,May/12,0
Jan/28,Grijs,Stroom,Ja,Alfa,11471,Romeo Tonale,,206,43900,Autobedrijf,Automatisch,1810,Jan/24,0
Mar/26,Rood,Benzine,Ja,Alfa,231489,Romeo Giulietta,,184,6940,Autobedrijf,Handgeschakeld,1255,Jul/11,0
Nov/25,Zwart,Benzine,,Alfa,108483,Romeo Giulietta,,88,8900,Autobedrijf,Handgeschakeld,1255,Apr/12,0
Sep/28,Rood,Stroom,,Alfa,777,Romeo Junior,,115,36425,Autobedrijf,Automatisch,1520,Sep/24,5
Mar/26,Zwart,Benzine,Ja,Alfa,81555,Romeo Giulietta,,177,19899,Autobedrijf,Automatisch,1295,Feb/15,5
Nieuw,Rood,Benzine,,Alfa,128581,Romeo GTV,,114,5950,Autobedrijf,Handgeschakeld,1345,Oct/99,0
Dec/25,Grijs,Benzine,Ja,Alfa,107216,Romeo GTV,5,148,11916,Autobedrijf,Handgeschakeld,1370,Mar/97,3
,Blauw,Benzine,,Alfa,189000,Romeo GTV,4,148,7950,Particulier,Handgeschakeld,1380,Jun/96,0
,Blauw,Benzine,,Alfa,196225,Romeo 166,2,140,7000,Autobedrijf,Automatisch,1495,Jul/99,0
